novelle_per_un_anno_avverzanza_f000001|AVVERTENZA|AVVERTENZA
novelle_per_un_anno_avverzanza_f000002|Raccolgo in un sol corpo tutte le novelle pubblicate finora in parecchi volumi e tant’altre ancora inedite,|Raccolgo in un sol corpo tutte le novelle pubblicate finora in parecchi volumi e tantaltre ancora inedite,
novelle_per_un_anno_avverzanza_f000003|sotto il titolo Novelle per un anno che può sembrar modesto e, al contrario, è forse troppo ambizioso,|sotto il titolo Novelle per un anno che può sembrar modesto e, al contrario, è forse troppo ambizioso,
novelle_per_un_anno_avverzanza_f000004|se si pensa che per antica tradizione dalle notti o dalle giornate s’intitolarono spesso altre raccolte del genere, alcune delle quali famosissime.|se si pensa che per antica tradizione dalle notti o dalle giornate sintitolarono spesso altre raccolte del genere, alcune delle quali famosissime.
novelle_per_un_anno_avverzanza_f000005|Secondo l’intenzione che mi ha suggerito questo titolo, avrei desiderato che tutt’intera la raccolta fosse contenuta in un volume solo,|Secondo lintenzione che mi ha suggerito questo titolo, avrei desiderato che tuttintera la raccolta fosse contenuta in un volume solo,
novelle_per_un_anno_avverzanza_f000006|di quei monumentali che da gran tempo ormai per opere di letteratura non usano più.|di quei monumentali che da gran tempo ormai per opere di letteratura non usano più.
novelle_per_un_anno_avverzanza_f000007|L’Editore (e chi legge ne intenderà facilmente le ragioni) non ha voluto seguirmi in questo desiderio,|LEditore e chi legge ne intenderà facilmente le ragioni non ha voluto seguirmi in questo desiderio,
novelle_per_un_anno_avverzanza_f000008|e m’ha anzi consigliato di dividere la raccolta non in dodici volumi, di trenta e più novelle ciascuno, come almeno m’ero rassegnato a chiedergli, ma in ventiquattro.|e mha anzi consigliato di dividere la raccolta non in dodici volumi, di trenta e più novelle ciascuno, come almeno mero rassegnato a chiedergli, ma in ventiquattro.
novelle_per_un_anno_avverzanza_f000009|Il che potrebbe suggerire, a chi ne avesse veglia, qualche non inutile considerazione sull’indole e le necessità del tempo nostro.|Il che potrebbe suggerire, a chi ne avesse veglia, qualche non inutile considerazione sullindole e le necessità del tempo nostro.
novelle_per_un_anno_avverzanza_f000010|M’affretto ad avvertire che le novelle di questi ventiquattro volumi non vogliono essere singolarmente né delle stagioni, né dei mesi, né di ciascun giorno dell’anno.|Maffretto ad avvertire che le novelle di questi ventiquattro volumi non vogliono essere singolarmente né delle stagioni, né dei mesi, né di ciascun giorno dellanno.
novelle_per_un_anno_avverzanza_f000011|Una novella al giorno, per tutt’un anno, senza che dai giorni, dai mesi o dalle stagioni nessuna abbia tratto la sua qualità.|Una novella al giorno, per tuttun anno, senza che dai giorni, dai mesi o dalle stagioni nessuna abbia tratto la sua qualità.
novelle_per_un_anno_avverzanza_f000012|Ogni volume ne conterrà non poche nuove, e di quelle già edite alcune sono state rifatte da cima a fondo,|Ogni volume ne conterrà non poche nuove, e di quelle già edite alcune sono state rifatte da cima a fondo,
novelle_per_un_anno_avverzanza_f000013|altre rifuse e ritoccate qua e là, e tutte insomma rielaborate con lunga e amorosa cura.|altre rifuse e ritoccate qua e là, e tutte insomma rielaborate con lunga e amorosa cura.
novelle_per_un_anno_avverzanza_f000014|In grazia almeno di questa cura, l’autore delle Novelle per un anno spera che i lettori vorranno usargli venia,|In grazia almeno di questa cura, lautore delle Novelle per un anno spera che i lettori vorranno usargli venia,
novelle_per_un_anno_avverzanza_f000015|se dalla concezione ch’egli ebbe del mondo e della vita troppa amarezza e scarsa gioja avranno e vedranno in questi tanti piccoli specchi che la riflettono intera.|se dalla concezione chegli ebbe del mondo e della vita troppa amarezza e scarsa gioja avranno e vedranno in questi tanti piccoli specchi che la riflettono intera.
novelle_per_un_anno_avverzanza_f000016|Luigi Pirandello|Luigi Pirandello
